corpus,category
专区男装正价商品，限时7折！ 满399送眼镜（数量有限，送完为止）活动时间：6月9日 10:30开始,3.价格、促销
那个 不能换货的  是吧,2.退换货、退款
亲，很抱歉，由于商品库存有限，我们没办法预留库存，所以暂时没有换货流程，建议您在符合我们退货条件的前提下，在签收后7天内建议您把收到的宝贝申请退款，然后重新拍下适合您的尺码，这样的话可以节省寄回的物流时间，同时也可以避免因产品热销而造成的缺货哦~安慰,2.退换货、退款
不包邮的情况下是要扣除您10元运费的,2.退换货、退款
您退回的运费在符合理赔条件的情况下保险公司会理赔您的,2.退换货、退款
不是有运费险的吗,2.退换货、退款
其他不要需要的，您选择退货原因为“7天无理由退换货”退款类型为“退货退款”,2.退换货、退款
您需要在单子上勾选一下退货商品的数量，然后连同单子一起寄回我们的仓库,2.退换货、退款
我这边同意您的退货申请了,2.退换货、退款
你好，我之前买的衣服，小了。能换大码码？,2.退换货、退款
亲，很抱歉，由于商品库存有限，我们没办法预留库存，所以暂时没有换货流程，建议您在符合我们退货条件的前提下，在签收后7天内建议您把收到的宝贝申请退款，然后重新拍下适合您的尺码，这样的话可以节省寄回的物流时间，同时也可以避免因产品热销而造成的缺货哦~,2.退换货、退款
我们退的是您的实际支付金额,2.退换货、退款
不客气，包裹中会有一张退货单您是否有看到呢？,2.退换货、退款
您需要在单子上勾选一下退货商品的数量，然后连同单子一起寄回我们的仓库,2.退换货、退款
但是这西服没扣子,4.商品资讯（尺码、款式等）
你好  昨天我拍了几件衣服   刚开始下订单的时候遇到点问题  所以分开下的订单  其中一个订单付了10块运费   不知道这10块运费是否能退给我呢,1.物流、发货
这边看到您拍了三笔订单，我们这边是不会 给您发三个包裹的,1.物流、发货
我们仓库会给您发三个包裹,1.物流、发货
那是同一单快递发来还是分三单发呢,1.物流、发货
可能不行哈~我们仓库的发货量是比较大的，所以一般这种情况是不受理的呢,1.物流、发货
那我记错了  我以为你们是当天发货的  因为我周日一早要出远门 所以希望衣服周六可以收到  也就是希望你们周五能发货 所以你这边可不可以做个急件,1.物流、发货
你好，我之前买的衣服，小了。能换大码码？,2.退换货、退款
我买了很久了，因为老公不在没拭成，现在能按退款流程走吗,2.退换货、退款
换也不行吗，不能因为你们没有换货流程就不管了吧,2.退换货、退款
您好   我们是不支持换货的呢,2.退换货、退款
可以退货的呢,2.退换货、退款
那这衣服现在有货的呀，我把衣服寄回你们重新寄回来就行了，邮费我出，就这么简单，你们怎么这么可笑,2.退换货、退款
退货  售后期限是非常长的呢,2.退换货、退款
包裹查到了没？,1.物流、发货
是这样的，我们这边刚刚已经和EMS公司联系了，通过这个单号查询到包裹是已经签收了的，但是因为您这边的门卫已经将您的包裹退回了，我们这边没有退回的包裹号也是查询不到的呢，你可以找一下帮您将包裹退回的那个人，通过他的途径找到您的包裹的呢，很抱歉给您带来不便了。 ,1.物流、发货
亲，这样吧，您可以将门卫给您的电话给我，我这边帮您联系试试，成与不成就不好说了。,1.物流、发货
您需要找门卫联系到他给您退回您的包裹的接受人的，我们这边会帮您向快递公司核实的，您这边也需要联系到帮您退回快递的人的。,1.物流、发货
